episodio,recompensa_total,pasos,terminado_por_muerte,recompensa_final_ajustada
22,2406.6000000000618,4233,True,2406.6000000000618
23,1041.2499999999739,1205,True,1041.2499999999739
24,1588.5499999999076,2912,True,1588.5499999999076
25,1856.4999999999443,2677,True,1856.4999999999443
1,778.3499999998699,10159,True,778.3499999998699
2,1661.9999999999145,4661,True,1661.9999999999145
3,2417.5000000000286,5416,True,2417.5000000000286
4,841.3999999999701,2199,True,841.3999999999701
5,1197.5499999999663,2378,True,1197.5499999999663
6,1128.6499999999564,2862,True,1128.6499999999564
7,1728.4499999999382,2283,True,1728.4499999999382
8,1327.2999999999395,3796,True,1327.2999999999395
9,1096.2999999999706,2273,True,1096.2999999999706
10,1493.14999999994,3562,True,1493.14999999994
11,1719.9999999998631,5773,True,1719.9999999998631
12,1687.4499999999223,4109,True,1687.4499999999223
13,2142.2499999999372,5086,True,2142.2499999999372
14,1136.9999999999538,1713,True,1136.9999999999538
15,1417.749999999957,1873,True,1417.749999999957
16,2029.149999999996,2288,True,2029.149999999996
17,909.4999999999666,1871,True,909.4999999999666
18,1655.79999999992,3040,True,1655.79999999992
19,1274.5499999999613,1875,True,1274.5499999999613
20,1160.149999999962,1783,True,1160.149999999962
21,1612.5499999999643,1849,True,1612.5499999999643
22,1402.199999999962,1339,True,1402.199999999962
23,1812.6499999999548,2026,True,1812.6499999999548
24,1177.049999999871,5093,True,1177.049999999871
25,2689.0000000000623,3250,True,2689.0000000000623
26,1975.6000000000633,5147,True,1975.6000000000633
27,1361.399999999957,1601,True,1361.399999999957
28,1811.699999999905,5092,True,1811.699999999905
29,1443.449999999936,2629,True,1443.449999999936
30,1163.2499999999518,1644,True,1163.2499999999518
31,2520.300000000406,8911,True,2520.300000000406
32,2237.800000000007,3283,True,2237.800000000007
33,499.14999999999685,483,True,499.14999999999685
34,2175.950000000029,3188,True,2175.950000000029
35,1915.4999999999925,2999,True,1915.4999999999925
36,1504.4999999999459,1771,True,1504.4999999999459
37,2277.949999999979,2829,True,2277.949999999979
38,2087.7499999999413,4341,True,2087.7499999999413
39,2223.3000000002708,6162,True,2223.3000000002708
40,1710.0999999999344,1982,True,1710.0999999999344
41,2034.3500000000356,2346,True,2034.3500000000356
42,851.8499999999781,909,True,851.8499999999781
43,1795.2999999999404,2332,True,1795.2999999999404
44,2144.7000000001103,2812,True,2144.7000000001103
45,2178.399999999772,13094,True,2178.399999999772
46,1092.149999999927,2388,True,1092.149999999927
47,1186.1499999999292,2883,True,1186.1499999999292
48,1271.599999999965,1223,True,1271.599999999965
49,2198.100000000019,3257,True,2198.100000000019
50,1671.099999999913,2890,True,1671.099999999913
51,2518.600000000013,3490,True,2518.600000000013
52,857.449999999985,1023,True,857.449999999985
53,2132.600000000002,1810,True,2132.600000000002
54,2926.5000000001314,3165,True,2926.5000000001314
55,1220.8499999999756,1752,True,1220.8499999999756
1,1276.399999999967,1353,True,1276.399999999967
2,1958.0999999999624,1683,True,1958.0999999999624
3,884.2499999999775,1229,True,884.2499999999775
4,885.8499999999767,1273,True,885.8499999999767
5,1571.19999999992,2623,True,1571.19999999992
6,1873.1999999999787,3189,True,1873.1999999999787
7,1206.5499999999488,4003,True,1206.5499999999488
8,2865.1500000000824,3675,True,2865.1500000000824
9,1818.1999999999105,3894,True,1818.1999999999105
10,1778.7999999999493,2245,True,1778.7999999999493
11,1833.6999999999432,2080,True,1833.6999999999432
12,3066.550000000118,3760,True,3066.550000000118
13,1488.8999999999442,2617,True,1488.8999999999442
14,1314.8499999999558,1786,True,1314.8499999999558
15,1594.899999999954,2000,True,1594.899999999954
16,2551.450000000048,2479,True,2551.450000000048
17,840.249999999983,835,True,840.249999999983
18,3357.550000000182,3841,True,3357.550000000182
19,1199.5999999999642,2150,True,1199.5999999999642
20,1838.400000000011,3232,True,1838.400000000011
21,2000.7500000000107,2511,True,2000.7500000000107
22,2002.0499999999763,2606,True,2002.0499999999763
23,1911.5499999999581,3421,True,1911.5499999999581
24,1539.3999999999594,1719,True,1539.3999999999594
25,1023.9999999999743,2455,True,1023.9999999999743
26,1449.2499999999538,1552,True,1449.2499999999538
27,1214.9999999999598,1700,True,1214.9999999999598
28,1296.0999999999513,1975,True,1296.0999999999513
29,1934.199999999971,2380,True,1934.199999999971
30,2402.200000000031,2570,True,2402.200000000031
31,1184.4999999999413,3291,True,1184.4999999999413
32,1399.199999999948,1993,True,1399.199999999948
33,1766.8999999999378,2109,True,1766.8999999999378
